PPN;EPN;Jahr;VD
568213084;;1597;
568186664;;1597;
568172264;123031087;1597;
568151259;;1597;
56812233X;138381577;1597;
568120612;;1597;
568116798;;1597;
568104412;122994876;1597;
568080114;290977622;1597;
568080114;290977630;1597;
568080114;290977649;1597;
568080114;290977657;1597;
568080114;290977738;1597;
568076249;;1597;
568073746;223674273;1597;
568073746;290974771;1597;
568073746;29097478X;1597;
56807159X;;1597;
568068793;;1597;
568055365;;1597;
568055357;;1597;
568055292;;1597;
568055225;;1597;
568034740;123391296;1597;
568033299;;1597;
568031555;290973678;1597;
568031555;290973686;1597;
568016572;;1597;
568011317;;1597;
568005198;217426166;1597;
56800518X;217408761;1597;
567977889;124590179;1597;
567977889;18140530X;1597;
567974995;;1597;
567969908;;1597;
567954102;;1597;
567943895;;1597;
567910881;126948763;1597;
567910881;126948771;1597;
567910881;12694878X;1597;
567805360;;1597;
567794199;;1597;
567783960;123539544;1597;
567769909;;1597;
567763315;;1597;
567762319;;1597;
567760510;;1597;
567756254;;1597;
56773904X;;1597;
567732029;;1597;
567731596;124947840;1597;
567726800;;1597;
567691381;;1597;
567670414;;1597;
567660362;;1597;
567625737;;1597;
567619303;;1597;
567610071;;1597;
567609820;;1597;
567605949;;1597;
567605930;;1597;
567605922;;1597;
567605914;;1597;
567605906;;1597;
567605892;;1597;
567605884;;1597;
567605876;;1597;
567602869;;1597;
567592472;;1597;
56758884X;;1597;
567558436;;1597;
567549666;;1597;
567544265;;1597;
567528200;;1597;
567517624;;1597;
567514919;231695640;1597;
567511715;;1597;
567482022;;1597;
567442772;;1597;
567435385;;1597;
567421112;223733415;1597;
567421112;223558842;1597;
567406016;;1597;
567391906;;1597;
567352021;;1597;
567332977;;1597;
567302458;;1597;
567264602;;1597;
567245063;124505562;1597;
567245063;124505570;1597;
567239721;124890784;1597;
567239721;124890792;1597;
567230546;;1597;
78485355X;;1596;
784850267;;1596;
568232771;123478693;1596;
568232771;136372570;1596;
56822681X;;1596;
568220226;;1596;
568213335;124346898;1596;
568213335;401165566;1596;
568192915;;1596;
568172272;174555571;1596;
568170903;;1596;
568121082;;1596;
568121058;;1596;
568120949;29098324X;1596;
568116879;;1596;
568111850;123694051;1596;
568111850;274438771;1596;
568105095;;1596;
56808151X;;1596;
568076125;;1596;
568073592;;1596;
568048547;;1596;
568034813;;1596;
568031571;;1596;
568018281;;1596;
568003853;;1596;
567987477;12287031X;1596;
567987477;122870328;1596;
567987477;122870336;1596;
567986802;;1596;
56797782X;;1596;
56797779X;124589898;1596;
56797779X;325910170;1596;
567969614;;1596;
567943011;156956128;1596;
567940306;473763451;1596;
567936783;123389461;1596;
567936783;12338947X;1596;
567924653;;1596;
567910431;123603595;1596;
567901262;123547830;1596;
567901262;123547849;1596;
567886611;;1596;
567881083;;1596;
567871010;;1596;
567796426;;1596;
567796396;;1596;
567789810;;1596;
567777057;;1596;
567773590;;1596;
567771504;401163628;1596;
567761479;;1596;
567759369;;1596;
567743721;;1596;
567736636;;1596;
567728706;;1596;
567725227;;1596;
567715655;;1596;
567688461;;1596;
567685160;;1596;
567677575;;1596;
567671577;293568170;1596;
567659658;;1596;
567658155;;1596;
567646815;123626412;1596;
567611310;;1596;
567605000;123169186;1596;
567574938;;1596;
567539431;;1596;
567526291;;1596;
567508293;;1596;
567485250;;1596;
567477584;;1596;
567441679;;1596;
567428117;;1596;
567417913;;1596;
567357155;;1596;
567342395;122822730;1596;
567341674;;1596;
567338517;;1596;
56732222X;122820460;1596;
56732222X;379215675;1596;
567309630;;1596;
567294188;;1596;
567287335;126724644;1596;
567287335;126724652;1596;
567278875;;1596;
567261832;;1596;
567257541;473762870;1596;
567257541;473763443;1596;
567256405;;1596;
567250458;;1596;
567246574;126720568;1596;
567246574;126720851;1596;
567241505;;1596;
567236854;126719985;1596;
567204480;;1596;
567197530;126726361;1596;
567189678;;1596;
78485548X;;1595;
784850488;;1595;
78485047X;;1595;
784850305;;1595;
784850275;;1595;
784850208;;1595;
784850194;;1595;
784850178;;1595;
784850062;;1595;
784850054;;1595;
784850046;;1595;
568220439;123603161;1595;
568220439;12360317X;1595;
568220439;123603188;1595;
568220439;123603196;1595;
568214196;;1595;
568193458;;1595;
568172329;290612373;1595;
568146980;327615060;1595;
568146980;327616776;1595;
568146980;327616784;1595;
568146980;327616792;1595;
568146980;327616806;1595;
568116909;;1595;
568112326;;1595;
568099613;;1595;
568068785;;1595;
568012844;;1595;
568010221;124046282;1595;
568010221;124046274;1595;
568010221;124046290;1595;
568010221;124046304;1595;
568010221;218985827;1595;
568005503;;1595;
568004175;;1595;
567974731;;1595;
567936732;126951241;1595;
567936724;123232449;1595;
567909271;473665417;1595;
567909271;473665425;1595;
567909271;473665433;1595;
567902021;;1595;
567899829;124383327;1595;
567885976;;1595;
567885224;288765249;1595;
567867730;;1595;
567859169;;1595;
56779640X;;1595;
567780333;12434335X;1595;
567780333;124343368;1595;
567780333;124343376;1595;
567780333;140673520;1595;
567780333;252622944;1595;
567777936;;1595;
567769895;;1595;
567758273;;1595;
567753859;;1595;
567749401;;1595;
567743713;;1595;
567735729;124346421;1595;
567735729;383139031;1595;
567726452;;1595;
567723593;;1595;
567714527;;1595;
567711889;;1595;
567705323;;1595;
567703371;;1595;
567699781;;1595;
567682617;;1595;
567669297;;1595;
567633306;;1595;
567622525;124323650;1595;
567622525;124323669;1595;
567622525;175425760;1595;
567622525;185878423;1595;
567617017;;1595;
567611736;;1595;
56760814X;290985242;1595;
56760814X;286614707;1595;
567591077;;1595;
567581551;;1595;
567577910;291643914;1595;
567576426;;1595;
567575993;;1595;
567575772;;1595;
567573192;279610203;1595;
56755368X;;1595;
56754138X;;1595;
567528170;;1595;
567515079;;1595;
567481719;156543524;1595;
567477339;124625371;1595;
567474356;;1595;
567461483;290979056;1595;
567461483;290979064;1595;
567461483;290979072;1595;
567461483;1238273475;1595;
567438023;124625177;1595;
567431827;29032730X;1595;
567421902;;1595;
567409473;;1595;
567408442;;1595;
567405826;123539560;1595;
567397963;;1595;
567396207;;1595;
567340171;;1595;
567333736;;1595;
567331881;;1595;
567301915;122815858;1595;
567283100;122822668;1595;
567279197;;1595;
567273709;;1595;
567251012;;1595;
567250644;;1595;
567250342;122823001;1595;
567245209;122826760;1595;
567239535;12282296X;1595;
567237214;126725284;1595;
567237214;379372886;1595;
567199614;;1595;
567192830;;1595;
823667154;;1594;
784850291;;1594;
784850232;;1594;
784850186;;1594;
728615487;;1594;
568247302;;1594;
568223152;123368758;1594;
568223152;123368766;1594;
568223152;123368774;1594;
568223152;123368782;1594;
568223152;123368790;1594;
568223152;123368804;1594;
568223152;123368812;1594;
568223152;123368820;1594;
568220307;;1594;
568218582;;1594;
568200241;320434710;1594;
568200241;320434729;1594;
568200241;320434737;1594;
568200241;320434745;1594;
568200241;320434753;1594;
568200241;320434761;1594;
568200241;32043477X;1594;
