PPN;EPN;Jahr
567203298;;1601
728629747;;1600
568219430;;1600
568211707;;1600
56818646X;149984977X;1600
568186346;124287743;1600
568186346;1174653108;1600
568186257;124285848;1600
568171748;;1600
56811454X;;1600
567978419;123463599;1600
567960218;;1600
567941140;;1600
567929221;;1600
567889874;;1600
567860051;;1600
567783251;;1600
567757668;;1600
567757617;;1600
567703827;;1600
567701166;;1600
567701158;;1600
567696251;;1600
567678431;;1600
567638952;;1600
567536696;;1600
567304906;;1600
567279456;;1600
567227413;;1600
567219062;;1600
567212718;;1600
567210499;;1600
567191540;;1600
784854238;;1599
784848033;;1599
784846960;;1599
728624109;;1599
728622386;;1599
56819294X;;1599
568186338;;1599
56818632X;124286038;1599
568186230;124286240;1599
568186214;124288022;1599
568004736;;1599
567999777;122939735;1599
567999777;1271512629;1599
567960250;;1599
56796020X;;1599
567946843;51898477X;1599
567946843;518984788;1599
567885313;;1599
567801837;;1599
567780740;;1599
567749657;;1599
567749061;;1599
567733661;;1599
567732770;;1599
567725219;;1599
567696235;1470324202;1599
56768668X;;1599
567571122;123599628;1599
567571122;123599636;1599
567561046;;1599
567533077;;1599
567480070;;1599
567219402;;1599
567219135;;1599
568224914;;1598
568186435;;1598
568186397;124288073;1598
568186362;;1598
568186354;124152945;1598
568186354;124152953;1598
568186206;;1598
568120906;;1598
568114027;;1598
567976343;;1598
567941701;;1598
567900347;;1598
567883264;128027495;1598
567883264;142673137;1598
567883264;142673145;1598
567758605;;1598
567736962;;1598
567702073;;1598
567696138;;1598
567683249;;1598
567545032;;1598
567504433;;1598
567337529;;1598
567260267;;1598
736433546;;1597
728630753;;1597
728627302;;1597
568214390;;1597
568209559;;1597
568186184;;1597
568173694;;1597
568171586;;1597
568169018;;1597
568166493;124288111;1597
568120922;;1597
568111583;;1597
568111575;123801206;1597
56808540X;;1597
568082591;;1597
568068793;;1597
567979040;;1597
567941736;124161588;1597
567941736;12416157X;1597
56794168X;;1597
567783006;;1597
567774376;;1597
567774333;;1597
567731707;;1597
567730654;;1597
567686302;;1597
567680819;;1597
567620379;;1597
56758626X;;1597
567585107;;1597
567442772;;1597
567302458;;1597
567297896;;1597
567253635;;1597
567208753;;1597
568198670;;1596
568154487;;1596
568120957;;1596
568120914;;1596
568092120;;1596
568059425;;1596
567976955;;1596
567921379;;1596
567918254;;1596
567885267;;1596
567777944;;1596
567702987;;1596
567692426;;1596
567586952;;1596
56758691X;;1596
567586251;;1596
567536475;;1596
567329712;;1596
567291650;;1596
567217949;;1596
