PPN;EPN;Jahr
769693229;;1697
737553464;1616613386;1697
638270944;;1697
638270936;;1697
549937927;;1697
549896279;;1697
537282319;;1697
537160450;;1697
537143882;;1697
53711405X;;1697
537103007;;1697
537010866;;1697
53699515X;;1697
536970122;;1697
536725284;12617301X;1697
536648220;;1697
536585644;;1697
536553378;;1697
536553068;;1697
536544999;;1697
536544417;882698907;1697
536544409;;1697
536544387;;1697
536544379;;1697
536544360;882698729;1697
536544352;882698400;1697
536544344;;1697
536544336;;1697
53654431X;882697862;1697
536544301;882697641;1697
536544239;882698168;1697
536544212;;1697
536544174;882697293;1697
536544166;;1697
53654414X;882696572;1697
536544131;882696882;1697
536544123;882695924;1697
536544107;882693301;1697
536544077;882692046;1697
536544050;882687905;1697
536544034;882687425;1697
536544018;882687077;1697
536543984;882686283;1697
536543968;882685384;1697
536500320;;1697
536490813;;1697
536488800;;1697
536488797;;1697
536472572;;1697
536459282;;1697
536429502;;1697
53642375X;;1697
536342474;884089010;1697
536331014;;1697
536330840;;1697
536330743;;1697
53632915X;;1697
536329133;;1697
536250170;;1697
536231648;;1697
536140294;;1697
536061068;;1697
536058431;;1697
536040354;;1697
536036047;1501374966;1697
535983204;;1697
535966490;;1697
535902174;;1697
535887442;;1697
535867247;;1697
535849338;;1697
535837879;;1697
535816960;;1697
535816936;;1697
535815018;;1697
535793685;;1697
535762453;;1697
535762240;;1697
535750919;;1697
535750560;;1697
535738366;;1697
53572246X;;1697
535715374;;1697
535697392;;1697
535654472;123998913;1697
535653476;;1697
535514638;1695320727;1697
09899901X;;1697
98989847;;1697
92309275;;1697
92297005;;1697
92296998;;1697
09229698X;;1697
92296815;;1697
92296793;;1697
92266924;;1697
09225540X;;1697
92240771;;1697
92221920;;1697
92221882;;1697
92221815;;1697
92221300;;1697
09220340X;;1697
92200915;185551629;1697
09219768X;1829062891;1697
92197620;;1697
92185312;;1697
92185290;;1697
92180310;;1697
92175732;;1697
92174809;;1697
92172512;;1697
92170048;;1697
92149871;;1697
09214943X;713571381;1697
92111068;;1697
92034381;;1697
92031315;;1697
91973848;1245270370;1697
91898714;;1697
91898706;;1697
91897912;;1697
1125080442;;1696
1030576408;;1696
870101129;;1696
684843749;1279139153;1696
63705329X;;1696
561423997;;1696
53715647X;;1696
536991456;;1696
536720460;;1696
536572062;;1696
536488827;;1696
536488746;;1696
536391742;120206003X;1696
536331723;;1696
536329508;;1696
53630131X;;1696
536296510;;1696
536231672;;1696
536156182;232714347;1696
536055483;;1696
